"project_id","ENSG00000107625","ENSG00000141644","ENSG00000160058","ENSG00000111361","ENSG00000136682","ENSG00000110696","ENSG00000198060","ENSG00000160785","ENSG00000186001","ENSG00000125779","ENSG00000166170","ENSG00000163374","ENSG00000169180","ENSG00000035928","ENSG00000143971","ENSG00000120709","ENSG00000101654","ENSG00000100461","ENSG00000187866","ENSG00000137764","ENSG00000166716","ENSG00000105879","ENSG00000144848","ENSG00000114416","ENSG00000091542"
"TCGA-THCA",3092,3733,7120,2108,891,11875,3560,2357,1764,1779,7906,1947,5751,4618,1191,1913,4953,6961,1782,894,5178,1406,3254,8636,6533
"TCGA-THCA",3127,4292,7719,2639,892,11385,3507,2233,2059,1961,5922,2298,5222,4826,1241,1945,4443,6008,2003,1410,5207,1861,3416,8388,6490
"TCGA-THCA",3018,2363,8636,2950,758,11492,3736,2205,1722,2078,4230,1791,4036,4616,1051,1784,1850,5929,2375,1166,4264,1567,3241,9125,7866
"TCGA-THCA",4378,4665,9522,2859,1081,15935,4519,2986,2088,2564,6472,2698,5847,4861,1209,2225,5497,7537,2037,1729,4994,1605,3935,10193,7367
"TCGA-THCA",4068,4161,9486,3199,1304,14892,4562,2839,1487,2433,6846,2374,5470,5466,1348,1736,4789,5573,1697,1891,5179,1739,4060,10089,8447
"TCGA-THCA",2453,2938,5465,2148,520,7338,2574,1805,1769,1571,4399,1613,4984,3160,725,1542,3470,4841,1409,926,3099,1002,2248,6543,5111
"TCGA-THCA",3410,3820,6136,2243,932,10740,3426,2391,1947,1942,5575,2272,4472,5080,926,2514,4370,5403,1939,1173,5314,1878,2665,7540,6159
"TCGA-THCA",4476,4467,9968,2457,967,14268,3998,2682,1884,2625,7826,2860,6654,5219,1206,3742,6483,7610,2448,1697,4942,1601,3718,10311,7658
"TCGA-THCA",1984,3000,6164,1764,627,9059,1742,1859,1675,1542,5213,1768,4629,4143,734,1940,3457,4867,1708,1159,2980,2180,2495,7086,6679
"TCGA-THCA",2452,2541,4687,1479,702,8096,2933,1634,1194,1110,4330,1280,3114,2901,849,1503,2896,4641,1155,849,2913,1091,2174,6266,4419
