"project_id","ENSG00000042832","ENSG00000198804","ENSG00000115414","ENSG00000198886","ENSG00000153002","ENSG00000108821","ENSG00000198938","ENSG00000164733","ENSG00000168878","ENSG00000120885","ENSG00000164692","ENSG00000198712","ENSG00000198727","ENSG00000168542","ENSG00000198763","ENSG00000156508","ENSG00000198888","ENSG00000110484","ENSG00000198786","ENSG00000075624"
"TCGA-THCA",8386429,813564,14323,490103,0,6499,292577,848136,1431,92551,19848,226285,216568,8403,136027,602223,87534,0,307476,130891
"TCGA-THCA",3476564,648807,370526,330454,0,8883,243302,742968,3410,658914,10617,220785,153173,11670,87575,514892,66424,0,169870,110946
"TCGA-THCA",353704,1031693,1757025,667232,3,13456,477613,668368,173257,242596,6066,296857,254429,5131,196551,329687,131620,0,118414,179415
"TCGA-THCA",1233234,1827878,882269,2291471,1,68260,1118248,1048592,78687,495305,40554,614081,915327,37332,495060,545261,381784,0,264169,232855
"TCGA-THCA",785270,2337719,1705040,2015150,1,59120,1184408,1082614,26726,297549,38688,887362,1380940,35898,806454,482514,416165,1,469566,340949
"TCGA-THCA",2490625,451203,336568,284342,2,18035,170697,430419,3962,262162,13561,135831,138711,11902,69310,362294,97569,0,153571,143023
"TCGA-THCA",856615,1213007,24365,849925,0,4711,530005,1065974,3265,132328,4430,279994,362930,3225,299235,635345,505107,0,269922,175861
"TCGA-THCA",382737,1322167,4292370,1198303,1,107601,658940,999799,394228,429205,72884,425564,537409,68050,352066,451375,314384,0,293581,293038
"TCGA-THCA",3754555,5304702,15289,3709704,3,2724,2045125,1581815,556,24985,10606,1508304,1673142,10321,960685,572900,1610178,0,1792995,341408
"TCGA-THCA",2047505,1415564,608337,1188281,0,92467,717114,734033,78338,157474,65125,620732,708589,56807,330491,764727,433295,0,322438,197438
"TCGA-THCA",1705428,371057,579912,283098,0,26125,137050,261462,3976,272645,19732,139371,154641,20035,104892,358933,89114,0,149793,164222
"TCGA-THCA",1500788,440607,534208,268408,0,8180,176455,490498,53824,531863,9520,165418,191845,6072,109773,662704,114373,0,228154,208191
"TCGA-THCA",2993870,1007869,629662,735379,0,2297,469578,777065,5873,630944,1978,365236,285501,1674,317987,580562,253992,0,314860,139187
"TCGA-THCA",2037979,763145,4508,325351,0,2460,351297,300699,39,82313,5236,258650,147778,5356,111756,270158,78118,0,65562,138039
"TCGA-THCA",3062871,681171,458739,304998,3,7729,239379,1104577,1069,187650,12650,186060,155938,11479,79821,574117,106069,0,142519,146298
"TCGA-THCA",6378010,1001460,4609,653846,0,2305,484679,884746,75,196302,3726,331681,224188,1621,178861,367725,115593,1,276421,122262
"TCGA-THCA",8871400,581877,8741,247410,0,1941,202738,955174,197,213861,14023,134264,133146,5326,67812,506931,71702,0,134923,147155
"TCGA-THCA",1150389,411681,1155009,210266,0,55024,154244,590922,19401,280857,36472,120643,116618,37122,56171,513228,55484,0,121439,196368
"TCGA-THCA",1273273,513109,628527,260153,0,18757,243845,711644,23752,967775,12884,209809,150715,8293,122600,526362,101679,0,82771,303549
"TCGA-THCA",4392785,712472,25909,398712,0,5328,237233,575523,1361,579503,12979,144607,205447,13516,100068,558669,92495,0,248528,229251
"TCGA-THCA",2121759,864946,765057,650743,1,91984,571706,828571,57488,242010,59797,332512,313145,37486,286211,598849,282440,0,116723,180066
"TCGA-THCA",1250090,292221,373357,152216,2,51245,90093,369061,76724,125295,45009,66337,76936,22316,46993,345650,59569,0,93845,210487
"TCGA-THCA",1523272,597475,830824,215701,0,1085,180058,1039823,7688,333498,2131,173726,91864,2861,89488,766977,104967,0,46799,143964
"TCGA-THCA",1261499,618025,644852,336386,4,16727,255512,559745,25244,402359,9316,157058,231612,7158,134500,592161,110893,0,232789,175542
"TCGA-THCA",360274,891331,1238160,455841,0,53731,319012,972176,119896,611030,37970,209005,254531,29678,182581,581161,154292,0,229887,195680
"TCGA-THCA",2890910,1484918,188560,518234,1,4040,1020897,1154524,11078,314652,9379,439562,241983,9590,123953,421629,115379,0,376335,180863
"TCGA-THCA",2968542,409888,977029,344775,0,32733,213101,622553,190367,1014405,25617,182792,174535,24290,99047,717289,72418,0,139356,213062
"TCGA-THCA",1916938,700968,2014302,214474,0,46857,399095,1102159,143014,894015,28976,190792,85432,29630,67402,698389,78583,0,90353,203684
"TCGA-THCA",97902,358212,1927006,198636,3,1876147,159556,199746,187638,583719,1187151,100022,112330,921905,75224,343231,64450,0,66568,270355
"TCGA-THCA",1800150,393843,130631,233294,0,5299,123305,453021,2083,601688,3753,119255,131577,3023,55082,483118,52639,0,152408,86256
"TCGA-THCA",1693527,318033,1220025,211778,1,32321,152845,568113,296814,945383,18675,112682,132499,16766,121116,881902,72307,0,199531,262940
"TCGA-THCA",1272264,499929,62456,377411,1,7491,194114,273158,1665,383362,33739,174357,192309,8408,107496,419675,97011,0,207707,200036
"TCGA-THCA",1506276,231863,264866,122626,0,11413,93728,279075,42850,408149,9956,61212,72718,11128,43897,310057,41656,2,30606,140175
